type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
,Agaricus blazei U2-1,,2.8 g/L nitrogen + 150 µM copper,static,28°C,21 days,5,Maximum laccase activity: 7.6 U/mL,mycelium,Strain U2-1 response,Induction+of+Laccase+Production+by+T.+pubescens_.txt
,Agaricus blazei U2-2,,2.8 g/L nitrogen + 150 µM copper,static,28°C,21 days,5,Maximum laccase activity: 4.8 U/mL,mycelium,Lowest laccase activity amongst strains,Induction+of+Laccase+Production+by+T.+pubescens_.txt
,Agaricus blazei U2-3,,2.8 g/L nitrogen + 150 µM copper,static,28°C,21 days,5,Maximum laccase activity: 10.3 U/mL,mycelium,Highest laccase activity in strain U2-3,Induction+of+Laccase+Production+by+T.+pubescens_.txt
,Agaricus blazei U2-4,0.5 mM ethanol,2.8 g/L nitrogen + 150 µM copper,static,28°C,21 days,5,Increased laccase activity,mycelium,Significant increase observed,Induction+of+Laccase+Production+by+T.+pubescens_.txt
,Agaricus blazei U2-4,0.5 mM guaiacol,2.8 g/L nitrogen + 150 µM copper,static,28°C,21 days,5,Increased laccase activity,mycelium,Significant increase observed,Induction+of+Laccase+Production+by+T.+pubescens_.txt
,Agaricus blazei U2-4,1.0 mM pyrogallol,2.8 g/L nitrogen + 150 µM copper,static,28°C,21 days,5,Delayed peak activity,mycelium,Laccase activity observed after initial inhibition,Induction+of+Laccase+Production+by+T.+pubescens_.txt
,Agaricus blazei U2-4,0.5 mM xylidine,2.8 g/L nitrogen + 150 µM copper,static,28°C,21 days,5,Slight increase in activity,mycelium,Xylidine had mixed effects,Induction+of+Laccase+Production+by+T.+pubescens_.txt
"2,4-Dichlorophenoxyacetic acid",Phanerochaete chrysosporium,0.25 µM,68 mg,shaking,37°C,15 days,not specified,41.70%,mycelium,Analyzed by gas chromatography.,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt
"2,4-Dichlorophenoxyacetic acid",Schizophyllum commune,0.25 µM,66 mg,shaking,37°C,15 days,not specified,32.60%,mycelium,Analyzed by gas chromatography.,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt
"2,4-Dichlorophenoxyacetic acid",Lenzites eximia,0.25 µM,67 mg,shaking,37°C,15 days,not specified,39.00%,mycelium,Analyzed by gas chromatography.,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt
m-[(4-dimethylamino)phenylazo]benzenesulfonic acid,Candida zeylanoides,0.2 mM,varied,shaking,25 ºC,40-60 h,acidic,complete removal,whole fungi,Detection of reduction products showed presence of metanilic acid or sulfanilic acid.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt
p-[(4-dimethylamino)phenylazo]benzenesulfonic acid (Methyl Orange),Issatchenkia occidentalis,0.2 mM,varied,shaking,26 ºC,15 h,varied,>80%,whole fungi,Kinetic assays suggested enzyme activity involved in azo dye reduction.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt
C.I. Reactive Black 5,Bacterial consortium (isolated),1 g/L,varied,not specified,55 ºC,24 h,9,91.5±1.3% for color removal and 89.0±0.4% for COD removal,"not applicable, bacterial consortium","System tolerated 3% of Na2SO4, Na2CO3 or NaCl.",Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt
1-amino-2-naphthol,Issatchenkia occidentalis,0.5 mM,varied,shaking,26 ºC,not specified,5.2 ± 0.2,used as nitrogen source,whole fungi,Assimilation experiments confirmed growth on this compound.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt
Cibacron Red C-2G-reactive dye,Bjerkandera adusta,500 mg/L,Not specified,Shaking,Not specified,Not specified,Not specified,53%,mycelium,Performed at a moisture content of 80-85%,Strategy+for+dye+adsorption+and+microbial+treatment_.txt
Cibacron Red C-2G-reactive dye,Phanerochaete chrysosporium,500 mg/L,Not specified,Shaking,Not specified,Not specified,Not specified,48%-53.6%,mycelium,Based on nitrogen-rich limitation,Strategy+for+dye+adsorption+and+microbial+treatment_.txt
Synthetic dye mixture (five dyes),Coriolopsis gallica,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,86.9% in nitrogen-limited medium,mycelium,Higher decolorization in nitrogen-limited medium,Strategy+for+dye+adsorption+and+microbial+treatment_.txt
Remazol Navy Blue,Not specified,0.5 g/L,Not specified,Submerged fermentation,Not specified,24-54 hours,Not specified,76%,Not specified,Complete decolorization within the specified time,Strategy+for+dye+adsorption+and+microbial+treatment_.txt
Remazol-Black B,Kluyveromyces marxianus,Not specified,Not specified,Not specified,37°C,Not specified,3.0-5.5,98%,Not specified,No color removal under anaerobic conditions,Strategy+for+dye+adsorption+and+microbial+treatment_.txt
Remazol-Turquoise Blue,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Initial complete decolorization, color reversed after exposure to air",Not specified,Color partially reversed upon exposure,Strategy+for+dye+adsorption+and+microbial+treatment_.txt
Neolane blue,Trametes trogii,50 mg/l,not specified,shaking,30°C,1 day,5,91.50%,mycellium,Complete decolorization after 24 hrs with crude enzyme.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Neolane blue,Trametes trogii,50 mg/l,not specified,shaking,30°C,4 days,5,91.20%,mycellium,Complete decolorization after 24 hrs with crude enzyme.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Neolane pink,Trametes trogii,50 mg/l,not specified,shaking,30°C,1 day,5,63.60%,mycellium,Complete decolorization after 24 hrs with crude enzyme.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Neolane pink,Trametes trogii,50 mg/l,not specified,shaking,30°C,4 days,5,86.40%,mycellium,Complete decolorization after 24 hrs with crude enzyme.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Neolane yellow,Trametes trogii,50 mg/l,not specified,shaking,30°C,1 day,5,18%,mycellium,Partial decolorization; complete after treatment with HBT.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Neolane yellow,Trametes trogii,50 mg/l,not specified,shaking,30°C,4 days,5,39.60%,mycellium,Complete decolorization after treatment with HBT.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Maxillon blue,Trametes trogii,50 mg/l,not specified,shaking,30°C,1 day,5,0%,mycellium,No decolorization detected.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Maxillon blue,Trametes trogii,50 mg/l,not specified,shaking,30°C,4 days,5,0%,mycellium,No decolorization detected.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/l,not specified,shaking,30°C,1 day,5,54%,mycellium,Partial decolorization.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/l,not specified,shaking,30°C,4 days,5,71%,mycellium,Partial decolorization.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
Basacryl yellow,Trametes trogii,50 mg/l,not specified,shaking,30°C,4 days,5,0%,mycellium,No decolorization detected.,Decolouration+of+textile+dyes+by+fungal+pellets_.txt
poly R-478,Bjerkandera sp. strain B33/3,0.05 mM,,shaking,30 °C,,5,high decolorization activity,,,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt
Remazol Brilliant Blue R (RBBR),Bjerkandera sp. strain B33/3,0.05 mM,,shaking,30 °C,,5,high decolorization activity,,,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt
"2,6-dimethoxyphenol (DMP)",Bjerkandera sp. strain B33/3,1 mM,,shaking,30 °C,,3,oxidation measured,,,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt
veratryl alcohol (VA),Bjerkandera sp. strain B33/3,4.0 mM,,shaking,30 °C,,3,oxidation measured,,,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt
manganese (Mn),Bjerkandera sp. strain B33/3,0.1 mM,,shaking,30 °C,,5,oxidation measured,,,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt
ABTS,Bjerkandera sp. strain B33/3,0.5 mM,,shaking,25 °C,,5,oxidation measured,,,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,shaking,35 °C,14 days,6,none,,Submerged and solid-state fermentation used various paper wastes.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,35 °C,6 days,4,none,,Optimal pH for growth and cellulase production.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,35 °C,6 days,5,none,,Growth and cellulase production at this pH.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,35 °C,6 days,6,none,,Maximum growth and enzyme production observed at this pH.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,35 °C,6 days,7,none,,"Stable growth, but lower enzyme production.",Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,35 °C,6 days,8,none,,Decreased enzyme production at alkaline pH.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,35 °C,6 days,9,none,,Significant decrease in enzyme production.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,20 °C,6 days,6,none,,Suboptimal growth and enzyme production.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,25 °C,6 days,6,none,,Improved growth and enzyme production.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,30 °C,6 days,6,none,,Increased enzyme production.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,35 °C,6 days,6,none,,Optimal growth and cellulase production.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,40 °C,6 days,6,none,,Decreased enzyme production.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,45 °C,6 days,6,none,,Drastic decrease in enzyme production.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
none,Aspergillus niger strain 13A,none,1 × 10^6 spores,none,50 °C,6 days,6,none,,No enzyme production observed.,Investigation+on+the+biodegradation+of+polyesters+by+isolated+mesophilic+microbes_.txt
Malachite Green,Trametes versicolor,7 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,95%,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Bromothymol Blue,Trametes versicolor,50 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,95%,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Methyl Red,Trametes versicolor,100 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,80%,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Methylene Blue,Trametes versicolor,240 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,not specified,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Crystal Violet,Trametes versicolor,20 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,not specified,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Malachite Green,Fomes fomentarius,7 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,70%,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Bromothymol Blue,Fomes fomentarius,50 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,not specified,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Methyl Red,Fomes fomentarius,100 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,80%,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Methylene Blue,Fomes fomentarius,240 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,not specified,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Crystal Violet,Fomes fomentarius,20 mg/l,3 plugs (5 mm2),none,28 °C,20 days,not specified,not specified,mycelium,Induced with 0.5 mM copper sulfate,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,13 days,not specified,complete decolorization,,,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,11 days,not specified,complete decolorization,,,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,11 days,not specified,complete decolorization,,,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,11 days,not specified,complete decolorization,,,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Red HE8B,Phanerochaete chrysosporium,50 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,not specified,not specified,not specified,,,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Black B,Phanerochaete chrysosporium,50 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,not specified,not specified,not specified,,,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Golden Yellow HR,Phanerochaete chrysosporium,50 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,not specified,not specified,not specified,,,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Violet 5R,Phanerochaete chrysosporium,50 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,not specified,not specified,not specified,,,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Red HE8B,Phanerochaete chrysosporium,100 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,not specified,not specified,not specified,,results were faster for lower concentrations,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Black B,Phanerochaete chrysosporium,100 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,not specified,not specified,not specified,,results were faster for lower concentrations,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Golden Yellow HR,Phanerochaete chrysosporium,100 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,not specified,not specified,not specified,,results were faster for lower concentrations,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Reactive Violet 5R,Phanerochaete chrysosporium,100 mg/L,3 disks of 10mm diameter agar plugs,static,27 °C,not specified,not specified,not specified,,results were faster for lower concentrations,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL (1 × 10^6 to 10^8 spores/mL),shaking at 120 rpm,30°C,3 days,4,100%,whole fungi,Complete decolorization achieved using maltose and ammonium sulfate as carbon and nitrogen sources.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL (1 × 10^6 to 10^8 spores/mL),shaking at 120 rpm,30°C,10 days,4.5,84.83%,whole fungi,Maximum decolorization observed on the 7th day.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt
